SCLK,LMST,LTST,LOCAL_RELATIVE_HUMIDITY,LOCAL_RELATIVE_HUMIDITY_UNCERTAINTY,HUMIDITY_LOCAL_TEMP,HUMIDITY_LOCAL_TEMP_UNCERTAINTY,VOLUME_MIXING_RATIO,VOLUME_MIXING_RATIO_UNCERTAINTY
667042590,00001M16:07:33.945,0001 15:30:04,,,274.43,,,
667042591,00001M16:07:34.918,0001 15:30:05,,,274.48,,,
667042592,00001M16:07:35.892,0001 15:30:06,,,274.50,,,
667042593,00001M16:07:36.865,0001 15:30:07,,,274.47,,,
667042594,00001M16:07:37.838,0001 15:30:08,,,274.47,,,
667042595,00001M16:07:38.811,0001 15:30:09,,,274.43,,,
667042596,00001M16:07:39.785,0001 15:30:09,,,274.46,,,
667042597,00001M16:07:40.758,0001 15:30:10,,,274.43,,,
667042598,00001M16:07:41.731,0001 15:30:11,,,274.44,,,
667042599,00001M16:07:42.704,0001 15:30:12,,,274.49,,,
667042600,00001M16:07:43.678,0001 15:30:13,,,274.47,,,
667042601,00001M16:07:44.651,0001 15:30:14,,,274.46,,,
667042602,00001M16:07:45.624,0001 15:30:15,,,274.43,,,
667042603,00001M16:07:46.597,0001 15:30:16,,,274.49,,,
667042604,00001M16:07:47.571,0001 15:30:17,,,274.55,,,
667042605,00001M16:07:48.544,0001 15:30:18,,,274.50,,,
667042606,00001M16:07:49.517,0001 15:30:19,,,274.47,,,
667042607,00001M16:07:50.490,0001 15:30:20,,,274.54,,,
667042608,00001M16:07:51.464,0001 15:30:21,,,274.54,,,
667042609,00001M16:07:52.437,0001 15:30:22,,,274.55,,,
667042610,00001M16:07:53.410,0001 15:30:23,,,274.54,,,
667042611,00001M16:07:54.383,0001 15:30:24,,,274.52,,,
667042612,00001M16:07:55.357,0001 15:30:25,,,274.55,,,
667042613,00001M16:07:56.330,0001 15:30:26,,,274.48,,,
667042614,00001M16:07:57.303,0001 15:30:27,,,274.51,,,
667042615,00001M16:07:58.276,0001 15:30:28,,,274.55,,,
