SCLK,LMST,LTST,LOCAL_RELATIVE_HUMIDITY,LOCAL_RELATIVE_HUMIDITY_UNCERTAINTY,HUMIDITY_LOCAL_TEMP,HUMIDITY_LOCAL_TEMP_UNCERTAINTY,VOLUME_MIXING_RATIO,VOLUME_MIXING_RATIO_UNCERTAINTY
667042883,00001M16:12:19.108,0001 15:34:49,,,274.56,,,
667042884,00001M16:12:20.081,0001 15:34:50,,,274.45,,,
667042885,00001M16:12:21.055,0001 15:34:51,,,274.53,,,
667042886,00001M16:12:22.028,0001 15:34:52,,,274.52,,,
667042887,00001M16:12:23.001,0001 15:34:53,,,274.52,,,
667042888,00001M16:12:23.974,0001 15:34:54,,,274.45,,,
667042889,00001M16:12:24.948,0001 15:34:55,,,274.53,,,
667042890,00001M16:12:25.921,0001 15:34:56,,,274.48,,,
667042891,00001M16:12:26.894,0001 15:34:57,,,274.55,,,
667042892,00001M16:12:27.867,0001 15:34:58,,,274.52,,,
667042893,00001M16:12:28.841,0001 15:34:59,,,274.49,,,
667042894,00001M16:12:29.814,0001 15:35:00,,,274.45,,,
667042895,00001M16:12:30.787,0001 15:35:01,,,274.51,,,
667042896,00001M16:12:31.760,0001 15:35:02,,,274.52,,,
667042897,00001M16:12:32.734,0001 15:35:02,,,274.52,,,
667042898,00001M16:12:33.707,0001 15:35:03,,,274.45,,,
667042899,00001M16:12:34.680,0001 15:35:04,,,274.43,,,
667042900,00001M16:12:35.653,0001 15:35:05,,,274.44,,,
667042901,00001M16:12:36.627,0001 15:35:06,,,274.45,,,
667042902,00001M16:12:37.600,0001 15:35:07,,,274.49,,,
667042903,00001M16:12:38.573,0001 15:35:08,,,274.48,,,
667042904,00001M16:12:39.546,0001 15:35:09,,,274.49,,,
667042905,00001M16:12:40.520,0001 15:35:10,,,274.46,,,
667042906,00001M16:12:41.493,0001 15:35:11,,,274.48,,,
667042907,00001M16:12:42.466,0001 15:35:12,,,274.46,,,
667042908,00001M16:12:43.439,0001 15:35:13,,,274.45,,,
667042909,00001M16:12:44.413,0001 15:35:14,,,274.44,,,
667042910,00001M16:12:45.386,0001 15:35:15,,,274.45,,,
667042911,00001M16:12:46.359,0001 15:35:16,,,274.49,,,
667042912,00001M16:12:47.332,0001 15:35:17,,,274.49,,,
667042913,00001M16:12:48.306,0001 15:35:18,,,274.46,,,
667042914,00001M16:12:49.279,0001 15:35:19,,,274.49,,,
667042915,00001M16:12:50.252,0001 15:35:20,,,274.47,,,
667042916,00001M16:12:51.225,0001 15:35:21,,,274.45,,,
667042917,00001M16:12:52.199,0001 15:35:22,,,274.49,,,
667042918,00001M16:12:53.172,0001 15:35:23,,,274.49,,,
667042919,00001M16:12:54.145,0001 15:35:24,,,274.47,,,
667042920,00001M16:12:55.118,0001 15:35:25,,,274.50,,,
667042921,00001M16:12:56.092,0001 15:35:26,,,274.46,,,
667042922,00001M16:12:57.065,0001 15:35:27,,,274.50,,,
667042923,00001M16:12:58.038,0001 15:35:28,,,274.46,,,
667042924,00001M16:12:59.011,0001 15:35:29,,,274.43,,,
667042925,00001M16:12:59.985,0001 15:35:30,,,274.52,,,
667042926,00001M16:13:00.958,0001 15:35:31,,,274.50,,,
667042927,00001M16:13:01.931,0001 15:35:32,,,274.46,,,
667042928,00001M16:13:02.904,0001 15:35:33,,,274.53,,,
667042929,00001M16:13:03.878,0001 15:35:34,,,274.53,,,
667042930,00001M16:13:04.851,0001 15:35:35,,,274.48,,,
667042931,00001M16:13:05.824,0001 15:35:36,,,274.44,,,
667042932,00001M16:13:06.797,0001 15:35:37,,,274.47,,,
667042933,00001M16:13:07.771,0001 15:35:38,,,274.47,,,
667042934,00001M16:13:08.744,0001 15:35:39,,,274.52,,,
667042935,00001M16:13:09.717,0001 15:35:39,,,274.50,,,
667042936,00001M16:13:10.690,0001 15:35:40,,,274.48,,,
667042937,00001M16:13:11.664,0001 15:35:41,,,274.47,,,
667042938,00001M16:13:12.637,0001 15:35:42,,,274.52,,,
667042939,00001M16:13:13.610,0001 15:35:43,,,274.46,,,
667042940,00001M16:13:14.583,0001 15:35:44,,,274.46,,,
667042941,00001M16:13:15.557,0001 15:35:45,,,274.46,,,
667042942,00001M16:13:16.530,0001 15:35:46,,,274.47,,,
667042943,00001M16:13:17.503,0001 15:35:47,,,274.46,,,
667042944,00001M16:13:18.476,0001 15:35:48,,,274.46,,,
667042945,00001M16:13:19.450,0001 15:35:49,,,274.46,,,
667042946,00001M16:13:20.423,0001 15:35:50,,,274.47,,,
667042947,00001M16:13:21.396,0001 15:35:51,,,274.50,,,
667042948,00001M16:13:22.369,0001 15:35:52,,,274.46,,,
667042949,00001M16:13:23.343,0001 15:35:53,,,274.46,,,
667042950,00001M16:13:24.316,0001 15:35:54,,,274.43,,,
667042951,00001M16:13:25.289,0001 15:35:55,,,274.40,,,
667042952,00001M16:13:26.262,0001 15:35:56,,,274.43,,,
667042953,00001M16:13:27.236,0001 15:35:57,,,274.49,,,
667042954,00001M16:13:28.209,0001 15:35:58,,,274.49,,,
667042955,00001M16:13:29.182,0001 15:35:59,,,274.40,,,
667042956,00001M16:13:30.155,0001 15:36:00,,,274.46,,,
667042957,00001M16:13:31.129,0001 15:36:01,,,274.44,,,
667042958,00001M16:13:32.102,0001 15:36:02,,,274.47,,,
667042959,00001M16:13:33.075,0001 15:36:03,,,274.44,,,
667042960,00001M16:13:34.048,0001 15:36:04,,,274.40,,,
667042961,00001M16:13:35.022,0001 15:36:05,,,274.47,,,
667042962,00001M16:13:35.995,0001 15:36:06,,,274.46,,,
667042963,00001M16:13:36.968,0001 15:36:07,,,274.45,,,
667042964,00001M16:13:37.941,0001 15:36:08,,,274.38,,,
667042965,00001M16:13:38.915,0001 15:36:09,,,274.43,,,
667042966,00001M16:13:39.888,0001 15:36:10,,,274.43,,,
667042967,00001M16:13:40.861,0001 15:36:11,,,274.43,,,
667042968,00001M16:13:41.834,0001 15:36:12,,,274.44,,,
667042969,00001M16:13:42.808,0001 15:36:13,,,274.40,,,
667042970,00001M16:13:43.781,0001 15:36:14,,,274.41,,,
667042971,00001M16:13:44.754,0001 15:36:15,,,274.40,,,
667042972,00001M16:13:45.727,0001 15:36:16,,,274.40,,,
667042973,00001M16:13:46.701,0001 15:36:16,,,274.45,,,
667042974,00001M16:13:47.674,0001 15:36:17,,,274.40,,,
667042975,00001M16:13:48.647,0001 15:36:18,,,274.37,,,
667042976,00001M16:13:49.620,0001 15:36:19,,,274.40,,,
667042977,00001M16:13:50.594,0001 15:36:20,,,274.35,,,
667042978,00001M16:13:51.567,0001 15:36:21,,,274.45,,,
667042979,00001M16:13:52.540,0001 15:36:22,,,274.40,,,
667042980,00001M16:13:53.513,0001 15:36:23,,,274.39,,,
667042981,00001M16:13:54.487,0001 15:36:24,,,274.40,,,
667042982,00001M16:13:55.460,0001 15:36:25,,,274.34,,,
667042983,00001M16:13:56.433,0001 15:36:26,,,274.37,,,
667042984,00001M16:13:57.406,0001 15:36:27,,,274.42,,,
667042985,00001M16:13:58.380,0001 15:36:28,,,274.37,,,
667042986,00001M16:13:59.353,0001 15:36:29,,,274.37,,,
667042987,00001M16:14:00.326,0001 15:36:30,,,274.39,,,
667042988,00001M16:14:01.299,0001 15:36:31,,,274.36,,,
667042989,00001M16:14:02.273,0001 15:36:32,,,274.33,,,
667042990,00001M16:14:03.246,0001 15:36:33,,,274.38,,,
667042991,00001M16:14:04.219,0001 15:36:34,,,274.37,,,
667042992,00001M16:14:05.192,0001 15:36:35,,,274.38,,,
667042993,00001M16:14:06.166,0001 15:36:36,,,274.41,,,
667042994,00001M16:14:07.139,0001 15:36:37,,,274.38,,,
667042995,00001M16:14:08.112,0001 15:36:38,,,274.42,,,
667042996,00001M16:14:09.085,0001 15:36:39,,,274.35,,,
667042997,00001M16:14:10.059,0001 15:36:40,,,274.37,,,
667042998,00001M16:14:11.032,0001 15:36:41,,,274.38,,,
667042999,00001M16:14:12.005,0001 15:36:42,,,274.34,,,
667043000,00001M16:14:12.978,0001 15:36:43,,,274.34,,,
667043001,00001M16:14:13.952,0001 15:36:44,,,274.37,,,
667043002,00001M16:14:14.925,0001 15:36:45,,,274.40,,,
667043003,00001M16:14:15.898,0001 15:36:46,,,274.35,,,
667043004,00001M16:14:16.872,0001 15:36:47,,,274.31,,,
667043005,00001M16:14:17.845,0001 15:36:48,,,274.30,,,
667043006,00001M16:14:18.818,0001 15:36:49,,,274.38,,,
667043007,00001M16:14:19.791,0001 15:36:50,,,274.35,,,
667043008,00001M16:14:20.765,0001 15:36:51,,,274.34,,,
667043009,00001M16:14:21.738,0001 15:36:52,,,274.36,,,
667043010,00001M16:14:22.711,0001 15:36:52,,,274.30,,,
667043011,00001M16:14:23.684,0001 15:36:53,,,274.36,,,
667043012,00001M16:14:24.658,0001 15:36:54,,,274.32,,,
667043013,00001M16:14:25.631,0001 15:36:55,,,274.34,,,
667043014,00001M16:14:26.604,0001 15:36:56,,,274.37,,,
667043015,00001M16:14:27.577,0001 15:36:57,,,274.34,,,
667043016,00001M16:14:28.551,0001 15:36:58,,,274.37,,,
667043017,00001M16:14:29.524,0001 15:36:59,,,274.29,,,
667043018,00001M16:14:30.497,0001 15:37:00,,,274.32,,,
667043019,00001M16:14:31.470,0001 15:37:01,,,274.40,,,
667043020,00001M16:14:32.444,0001 15:37:02,,,274.31,,,
667043021,00001M16:14:33.417,0001 15:37:03,,,274.36,,,
667043022,00001M16:14:34.390,0001 15:37:04,,,274.39,,,
667043023,00001M16:14:35.363,0001 15:37:05,,,274.36,,,
667043024,00001M16:14:36.337,0001 15:37:06,,,274.34,,,
667043025,00001M16:14:37.310,0001 15:37:07,,,274.32,,,
667043026,00001M16:14:38.283,0001 15:37:08,,,274.33,,,
667043027,00001M16:14:39.256,0001 15:37:09,,,274.33,,,
667043028,00001M16:14:40.230,0001 15:37:10,,,274.28,,,
667043029,00001M16:14:41.203,0001 15:37:11,,,274.29,,,
667043030,00001M16:14:42.176,0001 15:37:12,,,274.32,,,
667043031,00001M16:14:43.149,0001 15:37:13,,,274.33,,,
667043032,00001M16:14:44.123,0001 15:37:14,,,274.34,,,
667043033,00001M16:14:45.096,0001 15:37:15,,,274.34,,,
667043034,00001M16:14:46.069,0001 15:37:16,,,274.29,,,
667043035,00001M16:14:47.042,0001 15:37:17,,,274.31,,,
667043036,00001M16:14:48.016,0001 15:37:18,,,274.29,,,
667043037,00001M16:14:48.989,0001 15:37:19,,,274.33,,,
667043038,00001M16:14:49.962,0001 15:37:20,,,274.32,,,
667043039,00001M16:14:50.935,0001 15:37:21,,,274.30,,,
667043040,00001M16:14:51.909,0001 15:37:22,,,274.34,,,
667043041,00001M16:14:52.882,0001 15:37:23,,,274.28,,,
667043042,00001M16:14:53.855,0001 15:37:24,,,274.35,,,
667043043,00001M16:14:54.828,0001 15:37:25,,,274.33,,,
667043044,00001M16:14:55.802,0001 15:37:26,,,274.36,,,
667043045,00001M16:14:56.775,0001 15:37:27,,,274.35,,,
667043046,00001M16:14:57.748,0001 15:37:28,,,274.41,,,
667043047,00001M16:14:58.721,0001 15:37:29,,,274.33,,,
667043048,00001M16:14:59.695,0001 15:37:29,,,274.34,,,
667043049,00001M16:15:00.668,0001 15:37:30,,,274.38,,,
667043050,00001M16:15:01.641,0001 15:37:31,,,274.34,,,
667043051,00001M16:15:02.614,0001 15:37:32,,,274.38,,,
667043052,00001M16:15:03.588,0001 15:37:33,,,274.36,,,
667043053,00001M16:15:04.561,0001 15:37:34,,,274.34,,,
667043054,00001M16:15:05.534,0001 15:37:35,,,274.38,,,
667043055,00001M16:15:06.507,0001 15:37:36,,,274.40,,,
667043056,00001M16:15:07.481,0001 15:37:37,,,274.39,,,
667043057,00001M16:15:08.454,0001 15:37:38,,,274.40,,,
667043058,00001M16:15:09.427,0001 15:37:39,,,274.38,,,
667043059,00001M16:15:10.400,0001 15:37:40,,,274.40,,,
667043060,00001M16:15:11.374,0001 15:37:41,,,274.30,,,
667043061,00001M16:15:12.347,0001 15:37:42,,,274.38,,,
667043062,00001M16:15:13.320,0001 15:37:43,,,274.34,,,
667043063,00001M16:15:14.293,0001 15:37:44,,,274.36,,,
667043064,00001M16:15:15.267,0001 15:37:45,,,274.42,,,
667043065,00001M16:15:16.240,0001 15:37:46,,,274.33,,,
667043066,00001M16:15:17.213,0001 15:37:47,,,274.31,,,
667043067,00001M16:15:18.186,0001 15:37:48,,,274.36,,,
667043068,00001M16:15:19.160,0001 15:37:49,,,274.34,,,
667043069,00001M16:15:20.133,0001 15:37:50,,,274.39,,,
667043070,00001M16:15:21.106,0001 15:37:51,,,274.36,,,
667043071,00001M16:15:22.079,0001 15:37:52,,,274.41,,,
667043072,00001M16:15:23.053,0001 15:37:53,,,274.33,,,
667043073,00001M16:15:24.026,0001 15:37:54,,,274.34,,,
667043074,00001M16:15:24.999,0001 15:37:55,,,274.37,,,
667043075,00001M16:15:25.972,0001 15:37:56,,,274.37,,,
667043076,00001M16:15:26.946,0001 15:37:57,,,274.37,,,
667043077,00001M16:15:27.919,0001 15:37:58,,,274.33,,,
667043078,00001M16:15:28.892,0001 15:37:59,,,274.32,,,
667043079,00001M16:15:29.865,0001 15:38:00,,,274.37,,,
667043080,00001M16:15:30.839,0001 15:38:01,,,274.35,,,
667043081,00001M16:15:31.812,0001 15:38:02,,,274.32,,,
667043082,00001M16:15:32.785,0001 15:38:03,,,274.37,,,
667043083,00001M16:15:33.758,0001 15:38:04,,,274.40,,,
667043084,00001M16:15:34.732,0001 15:38:05,,,274.35,,,
667043085,00001M16:15:35.705,0001 15:38:06,,,274.32,,,
667043086,00001M16:15:36.678,0001 15:38:06,,,274.34,,,
667043087,00001M16:15:37.651,0001 15:38:07,,,274.38,,,
667043088,00001M16:15:38.625,0001 15:38:08,,,274.34,,,
667043089,00001M16:15:39.598,0001 15:38:09,,,274.40,,,
667043090,00001M16:15:40.571,0001 15:38:10,,,274.34,,,
667043091,00001M16:15:41.544,0001 15:38:11,,,274.34,,,
667043092,00001M16:15:42.518,0001 15:38:12,,,274.40,,,
667043093,00001M16:15:43.491,0001 15:38:13,,,274.30,,,
667043094,00001M16:15:44.464,0001 15:38:14,,,274.37,,,
667043095,00001M16:15:45.437,0001 15:38:15,,,274.36,,,
667043096,00001M16:15:46.411,0001 15:38:16,,,274.36,,,
667043097,00001M16:15:47.384,0001 15:38:17,,,274.38,,,
667043098,00001M16:15:48.357,0001 15:38:18,,,274.34,,,
667043099,00001M16:15:49.330,0001 15:38:19,,,274.32,,,
667043100,00001M16:15:50.304,0001 15:38:20,,,274.32,,,
667043101,00001M16:15:51.277,0001 15:38:21,,,274.37,,,
667043102,00001M16:15:52.250,0001 15:38:22,,,274.34,,,
667043103,00001M16:15:53.223,0001 15:38:23,,,274.35,,,
667043104,00001M16:15:54.197,0001 15:38:24,,,274.33,,,
667043105,00001M16:15:55.170,0001 15:38:25,,,274.33,,,
667043106,00001M16:15:56.143,0001 15:38:26,,,274.33,,,
667043107,00001M16:15:57.116,0001 15:38:27,,,274.33,,,
667043108,00001M16:15:58.090,0001 15:38:28,,,274.31,,,
667043109,00001M16:15:59.063,0001 15:38:29,,,274.31,,,
667043110,00001M16:16:00.036,0001 15:38:30,,,274.34,,,
667043111,00001M16:16:01.009,0001 15:38:31,,,274.31,,,
667043112,00001M16:16:01.983,0001 15:38:32,,,274.34,,,
667043113,00001M16:16:02.956,0001 15:38:33,,,274.33,,,
667043114,00001M16:16:03.929,0001 15:38:34,,,274.32,,,
667043115,00001M16:16:04.902,0001 15:38:35,,,274.31,,,
667043116,00001M16:16:05.876,0001 15:38:36,,,274.31,,,
667043117,00001M16:16:06.849,0001 15:38:37,,,274.33,,,
667043118,00001M16:16:07.822,0001 15:38:38,,,274.31,,,
667043119,00001M16:16:08.795,0001 15:38:39,,,274.31,,,
667043120,00001M16:16:09.769,0001 15:38:40,,,274.37,,,
667043121,00001M16:16:10.742,0001 15:38:41,,,274.31,,,
667043122,00001M16:16:11.715,0001 15:38:42,,,274.30,,,
667043123,00001M16:16:12.688,0001 15:38:43,,,274.32,,,
667043124,00001M16:16:13.662,0001 15:38:43,,,274.32,,,
667043125,00001M16:16:14.635,0001 15:38:44,,,274.31,,,
667043126,00001M16:16:15.608,0001 15:38:45,,,274.30,,,
667043127,00001M16:16:16.581,0001 15:38:46,,,274.34,,,
667043128,00001M16:16:17.555,0001 15:38:47,,,274.27,,,
667043129,00001M16:16:18.528,0001 15:38:48,,,274.27,,,
667043130,00001M16:16:19.501,0001 15:38:49,,,274.34,,,
667043131,00001M16:16:20.475,0001 15:38:50,,,274.30,,,
667043132,00001M16:16:21.448,0001 15:38:51,,,274.37,,,
667043133,00001M16:16:22.421,0001 15:38:52,,,274.32,,,
667043134,00001M16:16:23.394,0001 15:38:53,,,274.31,,,
667043135,00001M16:16:24.368,0001 15:38:54,,,274.34,,,
667043136,00001M16:16:25.341,0001 15:38:55,,,274.26,,,
667043137,00001M16:16:26.314,0001 15:38:56,,,274.30,,,
667043138,00001M16:16:27.287,0001 15:38:57,,,274.32,,,
667043139,00001M16:16:28.261,0001 15:38:58,,,274.33,,,
667043140,00001M16:16:29.234,0001 15:38:59,,,274.32,,,
667043141,00001M16:16:30.207,0001 15:39:00,,,274.28,,,
667043142,00001M16:16:31.180,0001 15:39:01,,,274.33,,,
667043143,00001M16:16:32.154,0001 15:39:02,,,274.27,,,
667043144,00001M16:16:33.127,0001 15:39:03,,,274.27,,,
667043145,00001M16:16:34.100,0001 15:39:04,,,274.30,,,
667043146,00001M16:16:35.073,0001 15:39:05,,,274.32,,,
667043147,00001M16:16:36.047,0001 15:39:06,,,274.29,,,
667043148,00001M16:16:37.020,0001 15:39:07,,,274.34,,,
667043149,00001M16:16:37.993,0001 15:39:08,,,274.31,,,
667043150,00001M16:16:38.966,0001 15:39:09,,,274.28,,,
667043151,00001M16:16:39.940,0001 15:39:10,,,274.32,,,
667043152,00001M16:16:40.913,0001 15:39:11,,,274.30,,,
667043153,00001M16:16:41.886,0001 15:39:12,,,274.35,,,
667043154,00001M16:16:42.859,0001 15:39:13,,,274.27,,,
667043155,00001M16:16:43.833,0001 15:39:14,,,274.24,,,
667043156,00001M16:16:44.806,0001 15:39:15,,,274.30,,,
667043157,00001M16:16:45.779,0001 15:39:16,,,274.24,,,
667043158,00001M16:16:46.752,0001 15:39:17,,,274.34,,,
667043159,00001M16:16:47.726,0001 15:39:18,,,274.28,,,
667043160,00001M16:16:48.699,0001 15:39:19,,,274.30,,,
667043161,00001M16:16:49.672,0001 15:39:19,,,274.27,,,
667043162,00001M16:16:50.645,0001 15:39:20,,,274.27,,,
667043163,00001M16:16:51.619,0001 15:39:21,,,274.35,,,
667043164,00001M16:16:52.592,0001 15:39:22,,,274.35,,,
667043165,00001M16:16:53.565,0001 15:39:23,,,274.33,,,
667043166,00001M16:16:54.538,0001 15:39:24,,,274.37,,,
667043167,00001M16:16:55.512,0001 15:39:25,,,274.30,,,
667043168,00001M16:16:56.485,0001 15:39:26,,,274.35,,,
667043169,00001M16:16:57.458,0001 15:39:27,,,274.30,,,
667043170,00001M16:16:58.431,0001 15:39:28,,,274.29,,,
667043171,00001M16:16:59.405,0001 15:39:29,,,274.32,,,
667043172,00001M16:17:00.378,0001 15:39:30,,,274.35,,,
667043173,00001M16:17:01.351,0001 15:39:31,,,274.26,,,
667043174,00001M16:17:02.324,0001 15:39:32,,,274.33,,,
667043175,00001M16:17:03.298,0001 15:39:33,,,274.27,,,
667043176,00001M16:17:04.271,0001 15:39:34,,,274.36,,,
667043177,00001M16:17:05.244,0001 15:39:35,,,274.38,,,
667043178,00001M16:17:06.217,0001 15:39:36,,,274.35,,,
667043179,00001M16:17:07.191,0001 15:39:37,,,274.35,,,
667043180,00001M16:17:08.164,0001 15:39:38,,,274.28,,,
667043181,00001M16:17:09.137,0001 15:39:39,,,274.31,,,
667043182,00001M16:17:10.110,0001 15:39:40,,,274.31,,,
667043183,00001M16:17:11.084,0001 15:39:41,,,274.34,,,
667043184,00001M16:17:12.057,0001 15:39:42,,,274.32,,,
667043185,00001M16:17:13.030,0001 15:39:43,,,274.31,,,
667043186,00001M16:17:14.003,0001 15:39:44,,,274.33,,,
667043187,00001M16:17:14.977,0001 15:39:45,,,274.32,,,
667043188,00001M16:17:15.950,0001 15:39:46,,,274.33,,,
667043189,00001M16:17:16.923,0001 15:39:47,,,274.34,,,
667043190,00001M16:17:17.896,0001 15:39:48,,,274.32,,,
667043191,00001M16:17:18.870,0001 15:39:49,,,274.27,,,
667043192,00001M16:17:19.843,0001 15:39:50,,,274.35,,,
667043193,00001M16:17:20.816,0001 15:39:51,,,274.27,,,
667043194,00001M16:17:21.789,0001 15:39:52,,,274.33,,,
667043195,00001M16:17:22.763,0001 15:39:53,,,274.33,,,
667043196,00001M16:17:23.736,0001 15:39:54,,,274.32,,,
667043197,00001M16:17:24.709,0001 15:39:55,,,274.32,,,
667043198,00001M16:17:25.682,0001 15:39:56,,,274.35,,,
667043199,00001M16:17:26.656,0001 15:39:56,,,274.30,,,
667043200,00001M16:17:27.629,0001 15:39:57,,,274.27,,,
667043201,00001M16:17:28.602,0001 15:39:58,,,274.31,,,
667043202,00001M16:17:29.575,0001 15:39:59,,,274.31,,,
667043203,00001M16:17:30.549,0001 15:40:00,,,274.25,,,
667043204,00001M16:17:31.522,0001 15:40:01,,,274.37,,,
667043205,00001M16:17:32.495,0001 15:40:02,,,274.27,,,
667043206,00001M16:17:33.468,0001 15:40:03,,,274.32,,,
667043207,00001M16:17:34.442,0001 15:40:04,,,274.29,,,
667043208,00001M16:17:35.415,0001 15:40:05,,,274.30,,,
667043209,00001M16:17:36.388,0001 15:40:06,,,274.33,,,
667043210,00001M16:17:37.361,0001 15:40:07,,,274.34,,,
667043211,00001M16:17:38.335,0001 15:40:08,,,274.34,,,
667043212,00001M16:17:39.308,0001 15:40:09,,,274.30,,,
667043213,00001M16:17:40.281,0001 15:40:10,,,274.25,,,
667043214,00001M16:17:41.254,0001 15:40:11,,,274.27,,,
667043215,00001M16:17:42.228,0001 15:40:12,,,274.28,,,
667043216,00001M16:17:43.201,0001 15:40:13,,,274.37,,,
667043217,00001M16:17:44.174,0001 15:40:14,,,274.36,,,
667043218,00001M16:17:45.147,0001 15:40:15,,,274.32,,,
667043219,00001M16:17:46.121,0001 15:40:16,,,274.28,,,
667043220,00001M16:17:47.094,0001 15:40:17,,,274.25,,,
667043221,00001M16:17:48.067,0001 15:40:18,,,274.26,,,
667043222,00001M16:17:49.040,0001 15:40:19,,,274.25,,,
667043223,00001M16:17:50.014,0001 15:40:20,,,274.31,,,
667043224,00001M16:17:50.987,0001 15:40:21,,,274.34,,,
667043225,00001M16:17:51.960,0001 15:40:22,,,274.34,,,
667043226,00001M16:17:52.933,0001 15:40:23,,,274.29,,,
667043227,00001M16:17:53.907,0001 15:40:24,,,274.30,,,
667043228,00001M16:17:54.880,0001 15:40:25,,,274.27,,,
667043229,00001M16:17:55.853,0001 15:40:26,,,274.30,,,
667043230,00001M16:17:56.826,0001 15:40:27,,,274.27,,,
667043231,00001M16:17:57.800,0001 15:40:28,,,274.34,,,
667043232,00001M16:17:58.773,0001 15:40:29,,,274.32,,,
667043233,00001M16:17:59.746,0001 15:40:30,,,274.33,,,
667043234,00001M16:18:00.719,0001 15:40:31,,,274.31,,,
667043235,00001M16:18:01.693,0001 15:40:32,,,274.31,,,
667043236,00001M16:18:02.666,0001 15:40:33,,,274.30,,,
667043237,00001M16:18:03.639,0001 15:40:33,,,274.29,,,
667043238,00001M16:18:04.612,0001 15:40:34,,,274.32,,,
667043239,00001M16:18:05.586,0001 15:40:35,,,274.30,,,
667043240,00001M16:18:06.559,0001 15:40:36,,,274.30,,,
667043241,00001M16:18:07.532,0001 15:40:37,,,274.28,,,
667043242,00001M16:18:08.505,0001 15:40:38,,,274.33,,,
667043243,00001M16:18:09.479,0001 15:40:39,,,274.33,,,
667043244,00001M16:18:10.452,0001 15:40:40,,,274.34,,,
667043245,00001M16:18:11.425,0001 15:40:41,,,274.31,,,
667043246,00001M16:18:12.398,0001 15:40:42,,,274.28,,,
667043247,00001M16:18:13.372,0001 15:40:43,,,274.35,,,
667043248,00001M16:18:14.345,0001 15:40:44,,,274.28,,,
667043249,00001M16:18:15.318,0001 15:40:45,,,274.34,,,
667043250,00001M16:18:16.291,0001 15:40:46,,,274.25,,,
667043251,00001M16:18:17.265,0001 15:40:47,,,274.32,,,
667043252,00001M16:18:18.238,0001 15:40:48,,,274.29,,,
667043253,00001M16:18:19.211,0001 15:40:49,,,274.29,,,
667043254,00001M16:18:20.184,0001 15:40:50,,,274.33,,,
667043255,00001M16:18:21.158,0001 15:40:51,,,274.30,,,
667043256,00001M16:18:22.131,0001 15:40:52,,,274.27,,,
667043257,00001M16:18:23.104,0001 15:40:53,,,274.25,,,
667043258,00001M16:18:24.078,0001 15:40:54,,,274.28,,,
667043259,00001M16:18:25.051,0001 15:40:55,,,274.28,,,
667043260,00001M16:18:26.024,0001 15:40:56,,,274.30,,,
667043261,00001M16:18:26.997,0001 15:40:57,,,274.23,,,
667043262,00001M16:18:27.971,0001 15:40:58,,,274.29,,,
667043263,00001M16:18:28.944,0001 15:40:59,,,274.33,,,
667043264,00001M16:18:29.917,0001 15:41:00,,,274.31,,,
667043265,00001M16:18:30.890,0001 15:41:01,,,274.28,,,
667043266,00001M16:18:31.864,0001 15:41:02,,,274.22,,,
667043267,00001M16:18:32.837,0001 15:41:03,,,274.23,,,
667043268,00001M16:18:33.810,0001 15:41:04,,,274.24,,,
667043269,00001M16:18:34.783,0001 15:41:05,,,274.30,,,
667043270,00001M16:18:35.757,0001 15:41:06,,,274.25,,,
667043271,00001M16:18:36.730,0001 15:41:07,,,274.24,,,
667043272,00001M16:18:37.703,0001 15:41:08,,,274.26,,,
667043273,00001M16:18:38.676,0001 15:41:09,,,274.27,,,
667043274,00001M16:18:39.650,0001 15:41:09,,,274.24,,,
667043275,00001M16:18:40.623,0001 15:41:10,,,274.31,,,
667043276,00001M16:18:41.596,0001 15:41:11,,,274.25,,,
667043277,00001M16:18:42.569,0001 15:41:12,,,274.23,,,
667043278,00001M16:18:43.543,0001 15:41:13,,,274.22,,,
667043279,00001M16:18:44.516,0001 15:41:14,,,274.28,,,
667043280,00001M16:18:45.489,0001 15:41:15,,,274.26,,,
667043281,00001M16:18:46.462,0001 15:41:16,,,274.23,,,
667043282,00001M16:18:47.436,0001 15:41:17,,,274.27,,,
667043283,00001M16:18:48.409,0001 15:41:18,,,274.22,,,
667043284,00001M16:18:49.382,0001 15:41:19,,,274.23,,,
667043285,00001M16:18:50.355,0001 15:41:20,,,274.23,,,
667043286,00001M16:18:51.329,0001 15:41:21,,,274.27,,,
667043287,00001M16:18:52.302,0001 15:41:22,,,274.25,,,
667043288,00001M16:18:53.275,0001 15:41:23,,,274.21,,,
667043289,00001M16:18:54.248,0001 15:41:24,,,274.24,,,
667043290,00001M16:18:55.222,0001 15:41:25,,,274.21,,,
667043291,00001M16:18:56.195,0001 15:41:26,,,274.25,,,
667043292,00001M16:18:57.168,0001 15:41:27,,,274.25,,,
667043293,00001M16:18:58.141,0001 15:41:28,,,274.26,,,
667043294,00001M16:18:59.115,0001 15:41:29,,,274.20,,,
667043295,00001M16:19:00.088,0001 15:41:30,,,274.24,,,
667043296,00001M16:19:01.061,0001 15:41:31,,,274.24,,,
667043297,00001M16:19:02.034,0001 15:41:32,,,274.27,,,
667043298,00001M16:19:03.008,0001 15:41:33,,,274.27,,,
667043299,00001M16:19:03.981,0001 15:41:34,,,274.25,,,
667043300,00001M16:19:04.954,0001 15:41:35,,,274.22,,,
667043301,00001M16:19:05.927,0001 15:41:36,,,274.23,,,
